Feature Set,Model,Accuracy,Precision,Recall,F1-score
Char TF-IDF 2 gram,MLP,0.9166666666666666,0.928926917989418,0.9166666666666666,0.9174797909850155
Char TF-IDF 3 gram,MLP,0.9166666666666666,0.9416734307359307,0.9166666666666666,0.9165281849714899
Char TF-IDF 2 gram,Random Forest,0.9041666666666667,0.9222790404040404,0.9041666666666667,0.9021687566644828
Char TF-IDF 3 gram,SVM,0.8791666666666667,0.8934367484367485,0.8791666666666667,0.8757948556216745
Char TF-IDF 2 gram,XGBoost,0.85,0.8595161435786435,0.85,0.8445550313384561
Char TF-IDF 3 gram,XGBoost,0.8291666666666667,0.8427281746031745,0.8291666666666667,0.8226134664698905
Char TF-IDF 2 gram,SVM,0.7916666666666666,0.8709206921890745,0.7916666666666666,0.7838722062687267
Char TF-IDF 3 gram,Random Forest,0.8,0.8207060532060532,0.8,0.7835893006345793
Word TF-IDF 1-gram,MLP,0.7625,0.8117691798941798,0.7625,0.7598167811577254
Word TF-IDF 1-gram,Random Forest,0.7333333333333333,0.7701331504824152,0.7333333333333333,0.7245933715980155
Word TF-IDF 1-gram,XGBoost,0.6541666666666667,0.6639668780293779,0.6541666666666667,0.6465563152376234
Char TF-IDF 2 gram,Decision Tree,0.6166666666666667,0.622408794908795,0.6166666666666667,0.6059458414750598
BERT,MLP,0.5625,0.6455502946127946,0.5625,0.5743175286740201
Char TF-IDF 3 gram,Decision Tree,0.5333333333333333,0.5746320982258482,0.5333333333333333,0.538074037469467
BERT,Random Forest,0.4875,0.5469423978798978,0.4875,0.49471895937453214
BERT,XGBoost,0.4708333333333333,0.5328569925444925,0.4708333333333333,0.48258669005573024
Word TF-IDF 1-gram,SVM,0.42083333333333334,0.7352735217341959,0.42083333333333334,0.4525292375628188
Word TF-IDF 3 gram,MLP,0.3958333333333333,0.5878309262576504,0.3958333333333333,0.40040094480109967
Word TF-IDF 2 gram,Random Forest,0.3875,0.5308924769528484,0.3875,0.3795084265959384
Word TF-IDF 2 gram,MLP,0.32916666666666666,0.7255249881291548,0.32916666666666666,0.3637527841046147
Word TF-IDF 1-gram,Naive Bayes,0.3625,0.5474354893472541,0.3625,0.3439122405372405
Word TF-IDF 2 gram,Naive Bayes,0.31666666666666665,0.5965314440993789,0.31666666666666665,0.3352589252682399
Word TF-IDF 1-gram,Decision Tree,0.3125,0.34326956030081035,0.3125,0.313372593779866
Word TF-IDF 2 gram,XGBoost,0.2791666666666667,0.38958051108588737,0.2791666666666667,0.276945502965997
BERT,Decision Tree,0.24166666666666667,0.26375661375661374,0.24166666666666667,0.24312290893013397
BERT,SVM,0.22916666666666666,0.30540129940865235,0.22916666666666666,0.21079652012217806
Word TF-IDF 3 gram,Random Forest,0.17083333333333334,0.4057480400696864,0.17083333333333334,0.1922354341078691
Word TF-IDF 2 gram,Decision Tree,0.18333333333333332,0.2715929078429078,0.18333333333333332,0.18804827149174325
Word TF-IDF 3 gram,Decision Tree,0.17916666666666667,0.2522575485519547,0.17916666666666667,0.17946655999720235
Char TF-IDF 3 gram,Naive Bayes,0.17916666666666667,0.288990688714526,0.17916666666666667,0.14558696460346615
Word TF-IDF 3 gram,Naive Bayes,0.11666666666666667,0.3348159193747429,0.11666666666666667,0.13457402977139818
Word TF-IDF 3 gram,XGBoost,0.1,0.08499128186628187,0.1,0.06543611724532777
Char TF-IDF 2 gram,Naive Bayes,0.0625,0.11471540880503145,0.0625,0.048665483434753215
Word TF-IDF 3 gram,SVM,0.016666666666666666,0.029323570432357043,0.016666666666666666,0.007601584022038568
Word TF-IDF 2 gram,SVM,0.016666666666666666,0.029323570432357043,0.016666666666666666,0.007601584022038568
